catalog_id,cliente,periodo,tipo_documento,formato,drive_source_link,suggested_drive_folder,suggested_filename,expected_drive_path,processing_status,notes
63,Flieben 3,May 2025,ER Acumulado (Ene-May),PDF,https://drive.google.com/file/d/1PI_9ZvP3L21KVRNjV8w_59O1v6J-lwzF/view,EEFF_Covenants_Source/Flieben_3,0063_Flieben_3_May_2025_ER_Acumulado_Ene_May.pdf,EEFF_Covenants_Source/Flieben_3/0063_Flieben_3_May_2025_ER_Acumulado_Ene_May.pdf,pending_file_in_drive_folder,
64,Flieben 3,Sep 2024,Analíticas Balance,PDF,https://drive.google.com/file/d/1VqY9SBmy0M17A7cLuOGUP5rckODcicDq/view,EEFF_Covenants_Source/Flieben_3,0064_Flieben_3_Sep_2024_Analiticas_Balance.pdf,EEFF_Covenants_Source/Flieben_3/0064_Flieben_3_Sep_2024_Analiticas_Balance.pdf,pending_file_in_drive_folder,
65,Flieben Capital,2025,EEFF Completo 2025,XLSX,https://drive.google.com/file/d/1JCYJWDox3k-lN2_Ua8Tufi_BxjBkfyrc/view,EEFF_Covenants_Source/Flieben_Capital,0065_Flieben_Capital_2025_EEFF_Completo_2025.xlsx,EEFF_Covenants_Source/Flieben_Capital/0065_Flieben_Capital_2025_EEFF_Completo_2025.xlsx,pending_file_in_drive_folder,
66,Flieben Capital,Dic 2025,Portfolio Report,XLSX,https://drive.google.com/file/d/1OxxGGBGaViXDxd707XKAW-SDoWoFP3Tb/view,EEFF_Covenants_Source/Flieben_Capital,0066_Flieben_Capital_Dic_2025_Portfolio_Report.xlsx,EEFF_Covenants_Source/Flieben_Capital/0066_Flieben_Capital_Dic_2025_Portfolio_Report.xlsx,pending_file_in_drive_folder,
67,Flieben Capital,Oct 2025,Estados Financieros,PDF,https://drive.google.com/file/d/13G7OnQc3tzV7XKcWyVwTQtu2lEbM8iHh/view,EEFF_Covenants_Source/Flieben_Capital,0067_Flieben_Capital_Oct_2025_Estados_Financieros.pdf,EEFF_Covenants_Source/Flieben_Capital/0067_Flieben_Capital_Oct_2025_Estados_Financieros.pdf,pending_file_in_drive_folder,
68,Go To Cash,Dic 2024,Estado de Resultados,PDF,https://drive.google.com/file/d/1Y2zMwzBFTb4j0GuEWXkJRw7ey69xyffa/view,EEFF_Covenants_Source/Go_To_Cash,0068_Go_To_Cash_Dic_2024_Estado_de_Resultados.pdf,EEFF_Covenants_Source/Go_To_Cash/0068_Go_To_Cash_Dic_2024_Estado_de_Resultados.pdf,pending_file_in_drive_folder,
69,Go To Cash,Jun 2025,Estado de Resultados,PDF,https://drive.google.com/file/d/1p_eqsFbj5l5JaI-B4FHSTKjV1hnEHB4f/view,EEFF_Covenants_Source/Go_To_Cash,0069_Go_To_Cash_Jun_2025_Estado_de_Resultados.pdf,EEFF_Covenants_Source/Go_To_Cash/0069_Go_To_Cash_Jun_2025_Estado_de_Resultados.pdf,pending_file_in_drive_folder,
70,ICP,2026,Cash Flow,XLSX,https://drive.google.com/file/d/1n0JBF7TjuUiCcc8p9UVKAhZhOtF3YF-w/view,EEFF_Covenants_Source/ICP,0070_ICP_2026_Cash_Flow.xlsx,EEFF_Covenants_Source/ICP/0070_ICP_2026_Cash_Flow.xlsx,pending_file_in_drive_folder,
71,ICP,2026,Cash Flow Escenarios,XLSX,https://drive.google.com/file/d/1ZuXE_swkmjUDSU_o7gZXy8gwoItjVpn-/view,EEFF_Covenants_Source/ICP,0071_ICP_2026_Cash_Flow_Escenarios.xlsx,EEFF_Covenants_Source/ICP/0071_ICP_2026_Cash_Flow_Escenarios.xlsx,pending_file_in_drive_folder,
72,ICP,Dic 2025,Balance General,PDF,https://drive.google.com/file/d/1GLnimpWkNuJd3rN0YAWA9eZC1gHoBDNw/view,EEFF_Covenants_Source/ICP,0072_ICP_Dic_2025_Balance_General.pdf,EEFF_Covenants_Source/ICP/0072_ICP_Dic_2025_Balance_General.pdf,pending_file_in_drive_folder,
73,ICP,Dic 2025,Estado de Resultados,PDF,https://drive.google.com/file/d/1FneGd5W8ombChzJHUwutZj9HDNJoi3Rj/view,EEFF_Covenants_Source/ICP,0073_ICP_Dic_2025_Estado_de_Resultados.pdf,EEFF_Covenants_Source/ICP/0073_ICP_Dic_2025_Estado_de_Resultados.pdf,pending_file_in_drive_folder,
